promise_id,politician_id,description,announce_date,status
P01,12345678,ขึ้นค่าแรง,2023-01-01,In Progress
P02,11325372,ปรับปรุงโครงสร้างพื้นฐาน,2023-01-15,"In Progress"
P03,23456789,เพิ่มงบประมาณการศึกษา,2023-02-10,"Not Started"
P04,34567890,ลดภาษีสำหรับผู้มีรายได้น้อย,2023-03-05,Silent
P05,45678901,สนับสนุนการเกษตรปลอดสารพิษ,2023-03-20,"In Progress"
P06,56789012,สร้างที่พักคนชรา,2023-04-01,"Not Started"
P07,56789012,ส่งเสริมการท่องเที่ยวในประเทศ,2023-04-15,Silent
P08,45678901,พัฒนาระบบขนส่งสาธารณะ,2023-05-01,"In Progress"
P09,34567890,เพิ่มจำนวนสถานที่เรียนรู้สำหรับเด็ก,2023-05-15,"Not Started"
P010,23456789,ปรับปรุงระบบสุขภาพ,2023-06-01,"In Progress"
P010,23456789,ปรับปรุงระบบสุขภาพ,2023-06-01,"In Progress"
